BioSample	Experiment	InsertSize	MBases	MBytes	Run	SRA_Sample	Sample_Name	description	sample_name	sample_title	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	biomaterial_provider	bioproject_id	cell_line	cell_type	dev_stage	disease	sex	tissue_type
SAMD00066209	DRX070200	641	245	168	DRR076356	DRS034970	DRS034970	Sample ID: CAGE_4_B10, Run: 1772-123-072, Well: B10, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_B10	CAGE_4_B10	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066210	DRX070201	641	321	219	DRR076357	DRS034971	DRS034971	Sample ID: CAGE_4_B11, Run: 1772-123-072, Well: B11, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_B11	CAGE_4_B11	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066211	DRX070202	641	331	226	DRR076358	DRS034972	DRS034972	Sample ID: CAGE_4_B12, Run: 1772-123-072, Well: B12, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_B12	CAGE_4_B12	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066212	DRX070203	641	205	141	DRR076359	DRS034973	DRS034973	Sample ID: CAGE_4_C01, Run: 1772-123-072, Well: C01, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_C01	CAGE_4_C01	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066213	DRX070204	641	225	155	DRR076360	DRS034974	DRS034974	Sample ID: CAGE_4_C02, Run: 1772-123-072, Well: C02, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_C02	CAGE_4_C02	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066214	DRX070205	641	208	142	DRR076361	DRS034975	DRS034975	Sample ID: CAGE_4_C03, Run: 1772-123-072, Well: C03, Cell curation: Dead, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_C03	CAGE_4_C03	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066215	DRX070206	641	281	194	DRR076362	DRS034976	DRS034976	Sample ID: CAGE_4_C04, Run: 1772-123-072, Well: C04, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_C04	CAGE_4_C04	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066216	DRX070207	641	294	202	DRR076363	DRS034977	DRS034977	Sample ID: CAGE_4_C05, Run: 1772-123-072, Well: C05, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_C05	CAGE_4_C05	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066217	DRX070208	641	301	207	DRR076364	DRS034978	DRS034978	Sample ID: CAGE_4_C06, Run: 1772-123-072, Well: C06, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_C06	CAGE_4_C06	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066218	DRX070209	641	312	214	DRR076365	DRS034979	DRS034979	Sample ID: CAGE_4_C07, Run: 1772-123-072, Well: C07, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_C07	CAGE_4_C07	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066219	DRX070210	641	265	182	DRR076366	DRS034980	DRS034980	Sample ID: CAGE_4_C08, Run: 1772-123-072, Well: C08, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_C08	CAGE_4_C08	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066220	DRX070211	641	282	194	DRR076367	DRS034981	DRS034981	Sample ID: CAGE_4_C09, Run: 1772-123-072, Well: C09, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_C09	CAGE_4_C09	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066221	DRX070212	641	200	137	DRR076368	DRS034982	DRS034982	Sample ID: CAGE_4_C10, Run: 1772-123-072, Well: C10, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_C10	CAGE_4_C10	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066222	DRX070213	641	270	185	DRR076369	DRS034983	DRS034983	Sample ID: CAGE_4_C11, Run: 1772-123-072, Well: C11, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_C11	CAGE_4_C11	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066223	DRX070214	641	307	210	DRR076370	DRS034984	DRS034984	Sample ID: CAGE_4_C12, Run: 1772-123-072, Well: C12, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_C12	CAGE_4_C12	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066224	DRX070215	641	166	114	DRR076371	DRS034985	DRS034985	Sample ID: CAGE_4_D01, Run: 1772-123-072, Well: D01, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_D01	CAGE_4_D01	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066225	DRX070216	641	268	184	DRR076372	DRS034986	DRS034986	Sample ID: CAGE_4_D02, Run: 1772-123-072, Well: D02, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_D02	CAGE_4_D02	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066226	DRX070217	641	180	123	DRR076373	DRS034987	DRS034987	Sample ID: CAGE_4_D03, Run: 1772-123-072, Well: D03, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_D03	CAGE_4_D03	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066227	DRX070218	641	286	196	DRR076374	DRS034988	DRS034988	Sample ID: CAGE_4_D04, Run: 1772-123-072, Well: D04, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_D04	CAGE_4_D04	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066228	DRX070219	641	331	226	DRR076375	DRS034989	DRS034989	Sample ID: CAGE_4_D05, Run: 1772-123-072, Well: D05, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_D05	CAGE_4_D05	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066229	DRX070220	641	187	128	DRR076376	DRS034990	DRS034990	Sample ID: CAGE_4_D06, Run: 1772-123-072, Well: D06, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_D06	CAGE_4_D06	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066230	DRX070221	641	336	229	DRR076377	DRS034991	DRS034991	Sample ID: CAGE_4_D07, Run: 1772-123-072, Well: D07, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_D07	CAGE_4_D07	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066231	DRX070222	641	274	188	DRR076378	DRS034992	DRS034992	Sample ID: CAGE_4_D08, Run: 1772-123-072, Well: D08, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_D08	CAGE_4_D08	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066232	DRX070223	641	269	184	DRR076379	DRS034993	DRS034993	Sample ID: CAGE_4_D09, Run: 1772-123-072, Well: D09, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_D09	CAGE_4_D09	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066233	DRX070224	641	229	157	DRR076380	DRS034994	DRS034994	Sample ID: CAGE_4_D10, Run: 1772-123-072, Well: D10, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_D10	CAGE_4_D10	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066234	DRX070225	641	287	196	DRR076381	DRS034995	DRS034995	Sample ID: CAGE_4_D11, Run: 1772-123-072, Well: D11, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_D11	CAGE_4_D11	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066235	DRX070226	641	316	216	DRR076382	DRS034996	DRS034996	Sample ID: CAGE_4_D12, Run: 1772-123-072, Well: D12, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_D12	CAGE_4_D12	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066236	DRX070227	641	181	124	DRR076383	DRS034997	DRS034997	Sample ID: CAGE_4_E01, Run: 1772-123-072, Well: E01, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_E01	CAGE_4_E01	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
